x_over_h,Cf_ML
1.917612294487499582e+02,-2.411455333333332573e-03
1.945900949666070971e+02,-2.382421999999999492e-03
1.974223698594643110e+02,-2.359311000000000654e-03
2.002584315916071205e+02,-2.342779333333333720e-03
2.030986865558928400e+02,-2.332466000000000487e-03
2.059435745558929227e+02,-2.323257000000000013e-03
2.087935730737499682e+02,-2.356352666666666675e-03
2.116492032166072192e+02,-2.353178666666667657e-03
2.145110366808928291e+02,-2.390061666666666931e-03
2.173797028416072408e+02,-2.436294333333333898e-03
2.202558979487499471e+02,-2.504542999999999700e-03
2.231403957523213819e+02,-2.596831666666667149e-03
2.260340606094643761e+02,-2.716225333333332787e-03
2.289378619130356753e+02,-2.864761666666667574e-03
2.318528928594642196e+02,-3.041028333333333031e-03
2.347803935916070941e+02,-3.243019666666666512e-03
2.377217780380355805e+02,-3.465424999999998541e-03
2.406786687880357078e+02,-3.698290000000000344e-03
2.436529387344642430e+02,-3.923976999999999500e-03
2.466467655558928129e+02,-4.104020666666667941e-03
2.496627214130357117e+02,-4.170244380824320897e-03
2.526771068237499946e+02,-4.080112203381794367e-03
2.556359325201784998e+02,-3.930866271019702214e-03
2.585088303594642980e+02,-3.760165503003425579e-03
2.612939593237500731e+02,-3.540910040252184809e-03
2.639915326273214760e+02,-3.274400297506318419e-03
2.666033720558928053e+02,-2.949484843613572275e-03
2.691326351630357294e+02,-2.539287751372537420e-03
2.715863414130356546e+02,-2.010164406282831644e-03
2.739767215380358039e+02,-1.337815501482284529e-03
2.763174428416071464e+02,-5.161011318662928797e-04
2.786209664666071717e+02,4.495350254892888325e-04
2.808987463237499469e+02,1.534400490089452528e-03
2.831601144130357284e+02,2.680552563976087727e-03
2.854087721987500572e+02,3.891614232373738578e-03
2.876440239487500321e+02,5.206944335637210541e-03
2.898649112880358416e+02,6.715811517320334489e-03
2.920714616630356204e+02,8.526591028488158044e-03
2.942654489308927737e+02,1.090784378612456168e-02
2.964547512701785763e+02,1.420854764140457548e-02
2.986588316273214332e+02,1.857615554277363204e-02
3.009041845023215274e+02,2.415255913816185401e-02
3.032175737166071485e+02,3.110280659576030587e-02
3.056235290558929591e+02,3.891789538690428041e-02
3.081354948416072261e+02,4.450758878895753196e-02
3.107394176273213589e+02,4.351011426248319741e-02
3.133963362701786082e+02,3.634822807083826907e-02
3.160715357166071726e+02,2.638519828057341726e-02
3.187500000023214852e+02,1.776421233333333113e-02
