x/c,y/c,z/c,tau_w_Pa,tau_x_Pa,tau_y_Pa,tau_z_Pa,Cf,surface_area_m2
0.002840693031127254,-0.033333333830038704,0.009268050702909628,7.462284292203289,-4.009214282605498,9.734207630085427e-19,-6.293797557422388,0.006343685845951684,0.0001034183358454892
0.002840693031127254,0.033333333830038704,-0.009268050702909628,3.435171072250096,1.8455926344762665,-1.1690243046306249e-18,-2.8972725317427126,0.0029202379936427584,0.0001034183358454892
0.0030259027456243834,-0.033333333830038704,-0.009558799055715403,3.435171072250096,1.8455926344762665,-1.1690243046306249e-18,-2.8972725317427126,0.0029202379936427584,0.0001034183358454892
0.0030259027456243834,0.033333333830038704,0.009558799055715403,7.462284292203289,-4.009214282605498,9.734207630085427e-19,-6.293797557422388,0.006343685845951684,0.0001034183358454892
0.003412029085059961,-0.033333333830038704,0.010136269653836886,7.470656655934836,-4.2871622117775035,9.546471067227213e-19,-6.118083935413971,0.006350803190081345,0.00010503305470648787
0.003412029085059961,0.033333333830038704,-0.010136269653836886,3.1537624215183424,1.809839710370875,-1.1994699304314974e-18,-2.5827693730075683,0.0026810125762406693,0.00010503305470648787
0.003612945709998409,-0.033333333830038704,-0.010422991899152597,3.1537624215183424,1.809839710370875,-1.1994699304314974e-18,-2.5827693730075683,0.0026810125762406693,0.00010503305470648787
0.003612945709998409,0.033333333830038704,0.010422991899152597,7.470656655934836,-4.2871622117775035,9.546471067227213e-19,-6.118083935413971,0.006350803190081345,0.00010503305470648787
0.004029898749043544,-0.033333333830038704,0.010992424562573433,7.455265570333418,-4.5266667271874095,-1.990547146550397e-18,-5.923704336407522,0.006337719232400242,0.00010674138131405246
0.004029898749043544,0.033333333830038704,-0.010992424562573433,2.8796994190508003,1.7484876187898422,2.4013497326704547e-18,-2.2881127137927764,0.002448031692428878,0.00010674138131405246
0.004245935163150231,-0.033333333830038704,-0.011275134980678558,2.8796994190508003,1.7484876187898422,2.4013497326704547e-18,-2.2881127137927764,0.002448031692428878,0.00010674138131405246
0.004245935163150231,0.033333333830038704,0.011275134980678558,7.455265570333418,-4.5266667271874095,-1.990547146550397e-18,-5.923704336407522,0.006337719232400242,0.00010674138131405246
0.004692575273414453,-0.033333333830038704,0.011836310538152853,7.4201646945813735,-4.732681699036726,9.865864578586813e-19,-5.714942522048209,0.006307879987476084,0.00010846603716328668
0.004692575273414453,0.033333333830038704,-0.011836310538152853,2.6154378409753667,1.6681617341986206,-1.2217918335310623e-18,-2.0143861418708524,0.0022233829968253743,0.00010846603716328668
0.004923178969571988,-0.033333333830038704,-0.012114775677522024,2.6154378409753667,1.6681617341986206,-1.2217918335310623e-18,-2.0143861418708524,0.0022233829968253743,0.00010846603716328668
0.004923178969571988,0.033333333830038704,0.012114775677522024,7.4201646945813735,-4.732681699036726,9.865864578586813e-19,-5.714942522048209,0.006307879987476084,0.00010846603716328668
0.005398189959426721,-0.033333333830038704,0.012667382135987282,7.366975987995487,-4.902483425662074,9.936819381899182e-19,-5.498908206981705,0.006262664282482655,0.00011018146525677865
0.005398189959426721,0.033333333830038704,-0.012667382135987282,2.3603613890280255,1.5707438991437763,-1.2376416868174352e-18,-1.7618369646811582,0.0020065425744436424,0.00011018146525677865
0.0056425972531239195,-0.033333333830038704,-0.01294152345508337,2.3603613890280255,1.5707438991437763,-1.2376416868174352e-18,-1.7618369646811582,0.0020065425744436424,0.00011018146525677865
0.0056425972531239195,0.033333333830038704,0.01294152345508337,7.366975987995487,-4.902483425662074,9.936819381899182e-19,-5.498908206981705,0.006262664282482655,0.00011018146525677865
