x/c,y/c,z/c,p_kinematic_m2_s2,p_physical_Pa,Cp,surface_area_m2
0.005398189959426721,-0.033333333830038704,0.012667382135987282,95280.3515625,116718.43066406251,99.22230614276035,0.00011018146525677865
0.005398189959426721,0.033333333830038704,-0.012667382135987282,100738.1875,123404.2796875,104.90594457804,0.00011018146525677865
0.0056425972531239195,-0.033333333830038704,-0.01294152345508337,100738.1875,123404.2796875,104.90594457804,0.00011018146525677865
0.0056425972531239195,0.033333333830038704,0.01294152345508337,95280.3515625,116718.43066406251,99.22230614276035,0.00011018146525677865
0.0061447892027596636,-0.033333333830038704,0.013485553053518137,95335.984375,116786.58085937501,99.28024060524852,0.00011196577811174759
0.0061447892027596636,0.033333333830038704,-0.013485553053518137,100832.1875,123519.42968750001,105.0038335617021,0.00011196577811174759
0.006402573858698209,-0.033333333830038704,-0.013755441332856813,100832.1875,123519.42968750001,105.0038335617021,0.00011196577811174759
0.006402573858698209,0.033333333830038704,0.013755441332856813,95335.984375,116786.58085937501,99.28024060524852,0.00011196577811174759
0.006931034382432699,-0.033333333830038704,0.01429095615943273,95400.6328125,116865.77519531251,99.34756368867636,0.00011377196625771564
0.006931034382432699,0.033333333830038704,-0.01429095615943273,100911.109375,123616.10898437501,105.0860206056644,0.00011377196625771564
0.007201710250228643,-0.033333333830038704,-0.014556582706669966,100911.109375,123616.10898437501,105.0860206056644,0.00011377196625771564
0.007201710250228643,0.033333333830038704,0.014556582706669966,95400.6328125,116865.77519531251,99.34756368867636,0.00011377196625771564
0.007755392541488011,-0.033333333830038704,0.015083641124268373,95475.8828125,116957.9564453125,99.42592694421435,0.00011558344893943053
0.007755392541488011,0.033333333830038704,-0.015083641124268373,100976.671875,123696.423046875,105.15429556833828,0.00011558344893943053
0.008038398964951435,-0.033333333830038704,-0.015345072994629541,100976.671875,123696.423046875,105.15429556833828,0.00011558344893943053
0.008038398964951435,0.033333333830038704,0.015345072994629541,95475.8828125,116957.9564453125,99.42592694421435,0.00011558344893943053
0.008616385670999685,-0.033333333830038704,0.01586387741068999,95556.15625,117056.29140625,99.5095214677456,0.00011744300705652443
0.008616385670999685,0.033333333830038704,-0.01586387741068999,101030.5234375,123762.39121093751,105.21037508665468,0.00011744300705652443
0.008911365953584513,-0.033333333830038704,-0.016121249956389267,101030.5234375,123762.39121093751,105.21037508665468,0.00011744300705652443
0.008911365953584513,0.033333333830038704,0.016121249956389267,95556.15625,117056.29140625,99.5095214677456,0.00011744300705652443
0.009512955943743387,-0.033333333830038704,0.01663205213844776,95636.1953125,117154.3392578125,99.5928719196753,0.00011933670360440248
0.009512955943743387,0.033333333830038704,-0.01663205213844776,101074.28125,123815.99453125,105.25594325466426,0.00011933670360440248
0.009819565651317438,-0.033333333830038704,-0.016885481774806976,101074.28125,123815.99453125,105.25594325466426,0.00011933670360440248
0.009819565651317438,0.033333333830038704,0.016885481774806976,95636.1953125,117154.3392578125,99.5928719196753,0.00011933670360440248
0.01044405127565066,-0.033333333830038704,0.017388533800840378,95717.3671875,117253.7748046875,99.67740205101249,0.00012125213263092889
0.01044405127565066,0.033333333830038704,-0.017388533800840378,101109.2578125,123858.84082031251,105.29236687333574,0.00012125213263092889
0.010761927192409834,-0.033333333830038704,-0.017638156190514565,101109.2578125,123858.84082031251,105.29236687333574,0.00012125213263092889
0.010761927192409834,0.033333333830038704,0.017638156190514565,95717.3671875,117253.7748046875,99.67740205101249,0.00012125213263092889
0.011408679808179537,-0.033333333830038704,0.01813369741042455,95800.59375,117355.72734375001,99.76407187672328,0.00012319592660397315
0.011408679808179537,0.033333333830038704,-0.01813369741042455,101136.5703125,123892.29863281251,105.3208093506365,0.00012319592660397315
0.01173755650719007,-0.033333333830038704,-0.01837961624066035,101136.5703125,123892.29863281251,105.3208093506365,0.00012319592660397315
0.01173755650719007,0.033333333830038704,0.01837961624066035,95800.59375,117355.72734375001,99.76407187672328,0.00012319592660397315
0.01240607164800167,-0.033333333830038704,0.01886790059506893,95885.40625,117459.62265625001,99.85239325360456,0.00012517419513643658
0.01240607164800167,0.033333333830038704,-0.01886790059506893,101157.1875,123917.55468750001,105.34227951585294,0.00012517419513643658
0.012745710089802742,-0.033333333830038704,-0.019110266119241714,101157.1875,123917.55468750001,105.34227951585294,0.00012517419513643658
0.012745710089802742,0.033333333830038704,0.019110266119241714,95885.40625,117459.62265625001,99.85239325360456,0.00012517419513643658
0.013435569281379381,-0.033333333830038704,0.019591578592856724,95971.09375,117564.58984375001,99.94162583113163,0.00012719088065591566
0.013435569281379381,0.033333333830038704,-0.019591578592856724,101172.078125,123935.79570312501,105.35778619827148,0.00012719088065591566
0.013785790031154951,-0.033333333830038704,-0.019830525542298954,101172.078125,123935.79570312501,105.35778619827148,0.00012719088065591566
0.013785790031154951,0.033333333830038704,0.019830525542298954,95971.09375,117564.58984375001,99.94162583113163,0.00012719088065591566
0.014496592183907827,-0.033333333830038704,0.020305170988043148,96057.203125,117670.07382812501,100.03129773754151,0.00012923446188085126
0.014496592183907827,0.033333333830038704,-0.020305170988043148,101182.3671875,123948.3998046875,105.36850094157957,0.00012923446188085126
0.014857173586885134,-0.033333333830038704,-0.02054086948434512,101182.3671875,123948.3998046875,105.36850094157957,0.00012923446188085126
0.014857173586885134,0.033333333830038704,0.02054086948434512,96057.203125,117670.07382812501,100.03129773754151,0.00012923446188085126
0.015588553001483282,-0.033333333830038704,0.021009135991334915,96142.828125,117774.96445312501,100.12046522930817,0.0001313092325977447
0.015588553001483282,0.033333333830038704,-0.021009135991334915,101188.65625,123956.10390625,105.3750501962212,0.0001313092325977447
0.015959351013104122,-0.033333333830038704,-0.021241704002022743,101188.65625,123956.10390625,105.3750501962212,0.0001313092325977447
0.015959351013104122,0.033333333830038704,0.021241704002022743,96142.828125,117774.96445312501,100.12046522930817,0.0001313092325977447
0.016711062441269558,-0.033333333830038704,0.02170380453268687,96226.84375,117877.88359375001,100.20795676274417,0.00013341746252728341
0.016711062441269558,0.033333333830038704,-0.02170380453268687,101191.609375,123959.72148437501,105.37812549840073,0.00013341746252728341
0.017091975857814152,-0.033333333830038704,-0.021933337052663166,101191.609375,123959.72148437501,105.37812549840073,0.00013341746252728341
0.017091975857814152,0.033333333830038704,0.021933337052663166,96226.84375,117877.88359375001,100.20795676274417,0.00013341746252728341
0.017863797023892403,-0.033333333830038704,0.022389546036720276,96308.8359375,117978.32402343751,100.29334114468679,0.00013556252604946241
0.017863797023892403,0.033333333830038704,-0.022389546036720276,101191.4921875,123959.57792968751,105.37800346259996,0.00013556252604946241
0.018254704773426056,-0.033333333830038704,-0.022616222500801086,101191.4921875,123959.57792968751,105.37800346259996,0.00013556252604946241
0.018254704773426056,0.033333333830038704,0.022616222500801086,96308.8359375,117978.32402343751,100.29334114468679,0.00013556252604946241
0.019046455000837643,-0.033333333830038704,0.02306679884592692,96387.2734375,118074.40996093751,100.3750237740059,0.00013774079627228166
0.019046455000837643,0.033333333830038704,-0.02306679884592692,101188.7578125,123956.22832031251,105.37515596058186,0.00013774079627228166
