x_over_h,Cf_Spalding
1.889354211094641869e+02,1.069593333333332917e-03
1.917612294487499582e+02,1.068955233333332812e-03
1.945900949666070971e+02,1.065631899999999917e-03
1.974223698594643110e+02,1.059423600000000297e-03
2.002584315916071205e+02,1.050095133333333545e-03
2.030986865558928400e+02,1.037373633333333548e-03
2.059435745558929227e+02,1.021242866666666714e-03
2.087935730737499682e+02,9.986486333333334606e-04
2.116492032166072192e+02,9.783504333333338521e-04
2.145110366808928291e+02,9.436868999999999856e-04
2.173797028416072408e+02,9.096380333333335374e-04
2.202558979487499471e+02,8.679585666666664442e-04
2.231403957523213819e+02,8.189359666666669790e-04
2.260340606094643761e+02,7.622687999999999209e-04
2.289378619130356753e+02,6.972313333333334624e-04
2.318528928594642196e+02,6.230990000000000053e-04
2.347803935916070941e+02,5.391548666666666229e-04
2.377217780380355805e+02,4.451988999999997670e-04
2.406786687880357078e+02,3.409342333333333259e-04
2.436529387344642430e+02,2.261919666666665975e-04
2.466467655558928129e+02,1.041239466666666800e-04
2.496627214130357117e+02,-2.550955908291385803e-05
2.526771068237499946e+02,-1.592724737424136680e-04
2.556359325201784998e+02,-2.365164763803245752e-04
2.585088303594642980e+02,-2.113684759379698072e-04
2.612939593237500731e+02,-1.328895783752370480e-04
2.639915326273214760e+02,2.276016871234418274e-06
2.666033720558928053e+02,1.919916295994167626e-04
2.691326351630357294e+02,4.405576483381703178e-04
2.715863414130356546e+02,7.516134165380209146e-04
2.739767215380358039e+02,1.125255478408396150e-03
2.763174428416071464e+02,1.558347727036420941e-03
2.786209664666071717e+02,2.046939838613183026e-03
2.808987463237499469e+02,2.582768626278196013e-03
2.831601144130357284e+02,3.153423430580211493e-03
2.854087721987500572e+02,3.762996190870354467e-03
2.876440239487500321e+02,4.433551392546657491e-03
2.898649112880358416e+02,5.196285530848620410e-03
2.920714616630356204e+02,6.101763284597876147e-03
2.942654489308927737e+02,7.243846276065903610e-03
2.964547512701785763e+02,8.747325388605578511e-03
2.986588316273214332e+02,1.069882910054148831e-02
3.009041845023215274e+02,1.317478954604375807e-02
3.032175737166071485e+02,1.620956983894799447e-02
3.056235290558929591e+02,1.964445457124465444e-02
3.081354948416072261e+02,2.271638795957888965e-02
3.107394176273213589e+02,2.408081281209868349e-02
3.133963362701786082e+02,2.325630221484581428e-02
3.160715357166071726e+02,2.112307363900114629e-02
3.187500000023214852e+02,1.924254966666666747e-02
