x_over_h,Cf_Spalding,Cf_ML,Cf_ML_newGrid,Cf_Spalding_newGrid,Cf_Classifier_newGrid
1.551585565023213746e+02,9.109888999999998186e-04,-3.015177333333333553e-03,-1.505604046540405441e-03,3.188693822666848095e-03,-1.491629734837668537e-03
1.579695574487499812e+02,9.344557999999997819e-04,-2.963163666666666744e-03,-1.440672490178102581e-03,3.217146420372385927e-03,-1.423768757870407225e-03
1.607804425558927903e+02,9.561476333333327913e-04,-2.911395666666666097e-03,-1.376734290638062345e-03,3.242913371665261547e-03,-1.359702953578994155e-03
1.635914435023214537e+02,9.760588666666665178e-04,-2.860354999999999755e-03,-1.313925877708701367e-03,3.264652698514650900e-03,-1.299457609955979127e-03
1.664027926987500052e+02,9.941835333333332719e-04,-2.810287000000000288e-03,-1.252660087309676257e-03,3.280702399269213101e-03,-1.239285649958693763e-03
1.692147246987499898e+02,1.010508066666666784e-03,-2.760878999999999937e-03,-1.195600120806546846e-03,3.295786967359370326e-03,-1.185925947645080679e-03
1.720274776273214172e+02,1.024999033333333235e-03,-2.711538666666667066e-03,-1.140091210328077849e-03,3.305442158538496149e-03,-1.133359041635192922e-03
1.748412948594643126e+02,1.037611566666666631e-03,-2.662507000000000155e-03,-1.088820540932954571e-03,3.310791874512760379e-03,-1.084403100032040870e-03
1.776564262166070876e+02,1.048283133333332987e-03,-2.614197333333332686e-03,-1.041734784823386941e-03,3.310601553188362561e-03,-1.037235778324677128e-03
1.804731298237499857e+02,1.056919866666666515e-03,-2.567773666666666506e-03,-9.982617898360384399e-04,3.304959521207549451e-03,-9.914325863858805977e-04
1.832916741808928407e+02,1.063430666666666507e-03,-2.523946333333333594e-03,-9.595017378989439613e-04,3.292437509586516702e-03,-9.486084342953444602e-04
1.861123397344642285e+02,1.067695566666666514e-03,-2.483039999999999293e-03,-9.263442558384103048e-04,3.272781045236834458e-03,-9.093080194346894827e-04
1.889354211094641869e+02,1.069593333333332917e-03,-2.445354666666666593e-03,-8.991542226839208812e-04,3.245174787611387543e-03,-8.745283881708048115e-04
1.917612294487499582e+02,1.068955233333332812e-03,-2.411455333333332573e-03,-8.794180599220980743e-04,3.208335433376999744e-03,-8.447106708188224008e-04
1.945900949666070971e+02,1.065631899999999917e-03,-2.382421999999999492e-03,-8.665447332314454116e-04,3.162430796697855619e-03,-8.197760819940383284e-04
1.974223698594643110e+02,1.059423600000000297e-03,-2.359311000000000654e-03,-8.631892957068631762e-04,3.104855284080660152e-03,-8.008179072042478138e-04
2.002584315916071205e+02,1.050095133333333545e-03,-2.342779333333333720e-03,-8.700286357490871758e-04,3.036229580014123200e-03,-7.880660674365267673e-04
2.030986865558928400e+02,1.037373633333333548e-03,-2.332466000000000487e-03,-8.877462539043993713e-04,2.954444785998322498e-03,-7.821778846999614043e-04
2.059435745558929227e+02,1.021242866666666714e-03,-2.323257000000000013e-03,-9.157168178766886962e-04,2.858430048343419457e-03,-7.842432892353625546e-04
2.087935730737499682e+02,9.986486333333334606e-04,-2.356352666666666675e-03,-9.540292617953367209e-04,2.747949972949273196e-03,-7.938900124109275411e-04
2.116492032166072192e+02,9.783504333333338521e-04,-2.353178666666667657e-03,-1.004021056201152579e-03,2.619822149480193364e-03,-8.141509846414539051e-04
2.145110366808928291e+02,9.436868999999999856e-04,-2.390061666666666931e-03,-1.062680220720430306e-03,2.475403846844799732e-03,-8.443901308084339474e-04
2.173797028416072408e+02,9.096380333333335374e-04,-2.436294333333333898e-03,-1.129281579659513306e-03,2.312859971962889089e-03,-8.864683476746752474e-04
2.202558979487499471e+02,8.679585666666664442e-04,-2.504542999999999700e-03,-1.205881235742279440e-03,2.132455711289029093e-03,-9.454770838610296801e-04
2.231403957523213819e+02,8.189359666666669790e-04,-2.596831666666667149e-03,-1.289591949518811105e-03,1.933132559074740879e-03,-1.017481226606008248e-03
2.260340606094643761e+02,7.622687999999999209e-04,-2.716225333333332787e-03,-1.382076242034852107e-03,1.716456373560738650e-03,-1.106459242201825394e-03
2.289378619130356753e+02,6.972313333333334624e-04,-2.864761666666667574e-03,-1.483904510899857008e-03,1.478733283296620842e-03,-1.213651431234102516e-03
2.318528928594642196e+02,6.230990000000000053e-04,-3.041028333333333031e-03,-1.593158200366917836e-03,1.216310700052127772e-03,-1.336686404029680496e-03
2.347803935916070941e+02,5.391548666666666229e-04,-3.243019666666666512e-03,-1.708189076698133236e-03,9.230976605645185590e-04,-1.470332895964629287e-03
2.377217780380355805e+02,4.451988999999997670e-04,-3.465424999999998541e-03,-1.824492038936821907e-03,5.934808657239770604e-04,-1.610907057408220936e-03
2.406786687880357078e+02,3.409342333333333259e-04,-3.698290000000000344e-03,-1.935358687940335427e-03,1.986399322191726986e-04,-1.752891353011845578e-03
2.436529387344642430e+02,2.261919666666665975e-04,-3.923976999999999500e-03,-2.036676023161983467e-03,-2.959578808663273749e-04,-1.881132391384961536e-03
2.466467655558928129e+02,1.041239466666666800e-04,-4.104020666666667941e-03,-2.117123384469286537e-03,-8.235501715480101053e-04,-1.970017296065931008e-03
2.496627214130357117e+02,-2.550955908291385803e-05,-4.170244380824320897e-03,-2.131309471306228488e-03,-1.216380046435682968e-03,-1.980973453123317102e-03
2.526771068237499946e+02,-1.592724737424136680e-04,-4.080112203381794367e-03,-2.040771414416121463e-03,-1.365560677668143427e-03,-1.899061138046893209e-03
2.556359325201784998e+02,-2.365164763803245752e-04,-3.930866271019702214e-03,-1.882022934370981533e-03,-1.278326403115828029e-03,-1.738603423183459219e-03
2.585088303594642980e+02,-2.113684759379698072e-04,-3.760165503003425579e-03,-1.653189094823511243e-03,-1.000924274758995978e-03,-1.499267484862476865e-03
2.612939593237500731e+02,-1.328895783752370480e-04,-3.540910040252184809e-03,-1.374590810903700928e-03,-5.929879565514364816e-04,-1.210079019574485885e-03
2.639915326273214760e+02,2.276016871234418274e-06,-3.274400297506318419e-03,-1.060459202123373952e-03,-9.223658552628384653e-05,-8.865996302536379749e-04
2.666033720558928053e+02,1.919916295994167626e-04,-2.949484843613572275e-03,-7.042427394523114456e-04,4.922299787925456640e-04,-5.231391841755277409e-04
2.691326351630357294e+02,4.405576483381703178e-04,-2.539287751372537420e-03,-3.037809176943217604e-04,1.100385648960117580e-03,-1.167546767692553562e-04
2.715863414130356546e+02,7.516134165380209146e-04,-2.010164406282831644e-03,1.634760374405895740e-04,1.785777504920372984e-03,3.615120990638883629e-04
2.739767215380358039e+02,1.125255478408396150e-03,-1.337815501482284529e-03,7.142909637929290576e-04,2.554999739212104361e-03,9.324712303602465408e-04
2.763174428416071464e+02,1.558347727036420941e-03,-5.161011318662928797e-04,1.354602838766353788e-03,3.398756769220984825e-03,1.604337378587685457e-03
2.786209664666071717e+02,2.046939838613183026e-03,4.495350254892888325e-04,2.115184454300595828e-03,4.319591167727635829e-03,2.414647363827893828e-03
2.808987463237499469e+02,2.582768626278196013e-03,1.534400490089452528e-03,2.995187566867063556e-03,5.289367381999374521e-03,3.356965745243649293e-03
2.831601144130357284e+02,3.153423430580211493e-03,2.680552563976087727e-03,4.008060212365173111e-03,6.279298061417542057e-03,4.437621972882371119e-03
2.854087721987500572e+02,3.762996190870354467e-03,3.891614232373738578e-03,5.152260048242587528e-03,7.267393224755429142e-03,5.646189556394407352e-03
2.876440239487500321e+02,4.433551392546657491e-03,5.206944335637210541e-03,6.462771581098707314e-03,8.275967169427557446e-03,7.013548839000251743e-03
